Lemma;Descriptor;OlfN;TotalN;logFreq;Tokens;Category;Domain;OAI;OSI;Termhood;OAIquantile;THquantile;Concreteness;Imageability;Arousal;Dominance;Auditory;Gustatory;Haptic;Interoceptive;Olfactory;Visual;DominantModality;Valence
CHUNKY;chunky;621;1725;6.431331082;['chunky_JJ', 'chunky_NN'];Abstract;Abstract;-1.473931188;10.18738395;2842.507735;0.790035587;0.937010676;3.69;;3.41;4.14;0.631578947;1.105263158;2.105263158;1.105263158;0.315789474;4;Visual;4.1
CINNAMON;cinnamon;1604;6335;7.380255788;['cinnamon_NN', 'cinnamon_JJ'];Source;Source;-1.981670478;8.818374984;6762.343536;0.761921708;0.972953737;4.85;;3.72;5.91;0.133333333;4.333333333;1.2;0.733333333;3.066666667;2.066666667;Gustatory;6.75
CITRUS;citric;303;227;5.713732806;['citric_JJ', 'citric_NN'];Category;Abstract;0.416625496;11.22265943;1767.787078;0.880427046;0.912099644;3.19;;;;0.625;3.625;0.8125;0.25;2.3125;1.8125;Gustatory;
CITRUS;citron;17;298;2.833213344;['citron_NN'];Category;Abstract;-4.131705679;15.37837057;51.687293;0.623131673;0.488256228;;;;;;;;;;;;
CITRUS;citrus;5922;3143;8.686429509;['citrus_NN', 'citrus_JJ'];Category;Abstract;0.913942218;6.933964635;36809.1419;0.901423488;0.995729537;4.21;;4.16;6.46;0.3125;4.46875;1.8125;0.25;3.3125;3.1875;Gustatory;6.36
CITRUS;citrus__#__fruit;519;307;6.251903883;['citrus__#__fruit_COLL'];Category;Abstract;0.757495883;10.44624268;2960.699402;0.894661922;0.940213523;;;;;;;;;;;;
CITRUS;citrusy;844;168;6.738152495;['citrusy_JJ', 'citrusy_NN'];Category;Abstract;2.328781766;9.744734221;6089.890815;0.944483986;0.970818505;;;;;;;;;;;;
CLEAN;clean;3557;64041;8.176672772;['clean_JJ', 'clean_NN'];Abstract;Abstract;-4.170262956;7.669388151;9586.72873;0.619572954;0.977935943;3.07;323.2;3.57;6.11;0.1875;0.625;2.875;1.1875;2.6875;4.6875;Visual;7.09
CLOVE;clove;1075;5630;6.980075941;['clove_NN'];Source;Source;-2.388798262;9.395712466;4215.253894;0.741637011;0.957295374;4.42;566.7;3.32;5.54;0.214285714;3.285714286;1.214285714;0.357142857;3.928571429;3.071428571;Olfactory;5.53
COCOA;cocoa;1087;3883;6.991176887;['cocoa_NN'];Source;Source;-1.836819767;9.379697185;4677.519133;0.77366548;0.960498221;4.89;;5;6.32;0.235294118;4.647058824;1.294117647;0.294117647;3.823529412;3.470588235;Gustatory;7.33
COCOA;cocoa__#__powder;52;444;3.951243719;['cocoa__#__powder_COLL'];Source;Source;-3.093976148;13.76539369;148.0345709;0.697153025;0.656227758;;;;;;;;;;;;
COCONUT;coconut;546;5501;6.302618976;['coconut_NN'];Source;Source;-3.332721047;10.37307627;1781.163596;0.680427046;0.912455516;4.79;;4.67;5.76;0.476190476;4.380952381;3;0.333333333;3.380952381;3.666666667;Gustatory;6.55
COCONUT;coconutty;19;8;2.944438979;['coconutty_JJ'];Source;Source;1.247927513;15.2179059;109.6374442;0.91316726;0.604982206;;;;;;;;;;;;
COFFEE;coffee;2576;68532;7.853993087;['coffee_NN'];Source;Source;-4.733573292;8.134916532;5937.652186;0.569395018;0.970106762;4.81;673.5;5.1;6.12;1;4.611111111;1.722222222;1.555555556;4.277777778;4;Gustatory;7
